ID,Prénom,Nom,Email,Email de contact,Âge,Statut,Événement,Date événement,Date inscription
26,ouissale,hamhoum,ouissale.hamhoum@loopi.tn,ouissale.hamhoum@loopi.tn,-,inscrit,Expo-Vente: Art et Recyclage,16/11/2026 11:00,15/02/2026 17:09
22,Marie,Dupont,marie.dupont@email.com,marie.dupont@email.com,-,inscrit,Expo-Vente: Art et Recyclage,16/11/2026 11:00,15/02/2026 17:07
16,Test,Participant,participant@loopi.tn,participant@loopi.tn,-,inscrit,Expo-Vente: Art et Recyclage,16/11/2026 11:00,15/02/2026 17:03
23,Marie,Dupont,marie.dupont@email.com,marie.dupont@email.com,-,inscrit,Initiation au Compostage Domestique,28/10/2026 15:00,15/02/2026 17:08
19,Ali,Ben,ben.ali@email.com,ben.ali@email.com,-,inscrit,Initiation au Compostage Domestique,28/10/2026 15:00,15/02/2026 17:06
24,Marie,Dupont,marie.dupont@email.com,marie.dupont@email.com,-,inscrit,Fabriquez vos propres produits ménagers écologiques,22/02/2026 09:00,15/02/2026 17:08
20,Ali,Ben,ben.ali@email.com,ben.ali@email.com,-,inscrit,Fabriquez vos propres produits ménagers écologiques,22/02/2026 09:00,15/02/2026 17:06
17,Test,Participant,participant@loopi.tn,participant@loopi.tn,-,inscrit,Fabriquez vos propres produits ménagers écologiques,22/02/2026 09:00,15/02/2026 17:04
28,ouissale,hamhoum,ouissale.hamhoum@loopi.tn,ouissale.hamhoum@loopi.tn,-,inscrit,Challenge Zéro Déchet : les bons réflexes,22/02/2026 09:00,15/02/2026 17:10
21,Ali,Ben,ben.ali@email.com,ben.ali@email.com,-,inscrit,Challenge Zéro Déchet : les bons réflexes,22/02/2026 09:00,15/02/2026 17:06
27,ouissale,hamhoum,ouissale.hamhoum@loopi.tn,ouissale.hamhoum@loopi.tn,-,inscrit,Balade botanique dans le parc national,22/02/2026 09:00,15/02/2026 17:10
25,Marie,Dupont,marie.dupont@email.com,marie.dupont@email.com,-,inscrit,Balade botanique dans le parc national,22/02/2026 09:00,15/02/2026 17:08
18,Ali,Ben,ben.ali@email.com,ben.ali@email.com,-,inscrit,Donnez une seconde vie à vos vêtements,22/02/2026 09:00,15/02/2026 17:06
